0.6406781246402460 1:0.4029411764705882 2:0.4594594594594595 3:0.5675675675675675 4:0.5405405405405406 5:0.4594594594594595 6:0.3194103194103194 7:5.7142857142857140 8:1.3157894736842106 9:1.0303030303030303 10:0.4594594594594595 11:0.5116279069767442 12:0.4022038567493113 13:0.4309063893016345 14:0.4262820512820513 15:0.3787878787878788 16:0.4242424242424242 17:0.0087251263016806 18:0.0147667454393138 19:0.4894438138483200 20:0.5394857228955343 21:0.5263348857454004 22:0.5275051675288650 23:0.4847829461838552 24:0.1200680566628496 25:0.0513283028069340 26:0.0184491627372625 27:26.0000000000000000 28:0.3370103511256741 29:6.8179575282160470 30:7.4366946731759400
0.3702450925744544 1:0.3982035928143712 2:0.4054054054054054 3:0.5945945945945946 4:0.5405405405405406 5:0.4054054054054054 6:0.2992125984251969 7:7.0000000000000000 8:1.0329670329670330 9:0.9275362318840580 10:0.4282460136674260 11:0.4827586206896552 12:0.3498622589531680 13:0.3940298507462687 14:0.4000000000000000 15:0.4646464646464646 16:0.3774104683195592 17:-0.0412955465587045 18:-0.0575098814229249 19:0.5080463282032336 20:0.4964433301058813 21:0.5439774707075697 22:0.5227077740021151 23:0.4807341609224106 24:0.1307354767388254 25:0.0553667876888197 26:0.0179065403038136 27:26.0000000000000000 28:0.2576575176702289 29:6.9783926321844650 30:7.4210154711103530
0.3671855740167951 1:0.4179104477611940 2:0.4594594594594595 3:0.5675675675675675 4:0.5675675675675675 5:0.4594594594594595 6:0.3121951219512195 7:10.4000000000000000 8:0.9387755102040817 9:0.9268292682926830 10:0.4541284403669725 11:-0.0588235294117647 12:0.4187327823691460 13:0.4167916041979011 14:0.4135702746365105 15:0.4393939393939394 16:0.4269972451790633 17:-0.0556451612903226 18:-0.0533730158730159 19:0.5013542481469699 20:0.5400018782706693 21:0.5520890387676090 22:0.5256736123321473 23:0.4973895801634952 24:0.2300858085052784 25:0.1510033054760684 26:0.1003851501880458 27:27.0000000000000000 28:0.2514053536547183 29:6.9004455708210170 30:7.4455321585639270
0.0482780764781586 1:0.3017751479289941 2:0.3750000000000000 3:0.5000000000000000 4:0.5000000000000000 5:0.3750000000000000 6:0.2464454976303317 7:4.7142857142857140 8:0.8602150537634409 9:2.5714285714285716 10:0.3325740318906606 11:0.3404255319148936 12:0.2975206611570248 13:0.2712369597615499 14:0.2861736334405145 15:0.3181818181818182 16:0.3030303030303030 17:-0.0836065573770492 18:-0.0717348927875244 19:0.3741169217570518 20:0.3453037282681542 21:0.4065266546282135 22:0.4169774451973501 23:0.3566314758107461 24:0.0842310962990797 25:0.0272290386841662 26:0.0089532701519068 27:0.0000000000000000 28:0.3342880882982821 29:5.5311905472323220 30:6.0770703741294350
0.4550481316113890 1:0.5785953177257525 2:0.5862068965517241 3:0.7586206896551724 4:0.7241379310344828 5:0.6206896551724138 6:0.5721784776902887 7:1.9642857142857142 8:1.6000000000000000 9:0.9670329670329670 10:0.5544554455445545 11:1.2272727272727273 12:0.5611285266457681 13:0.5776293823038398 14:0.5892857142857143 15:0.6781609195402298 16:0.5673981191222570 17:0.3000742340396815 18:0.3017972600985853 19:0.5946030207421356 20:0.5475082763841714 21:0.6353174171588131 22:0.6091439937897972 23:0.5687177491817876 24:0.2313963676755828 25:0.1215392976134613 26:0.0285087719298246 27:36.0000000000000000 28:0.4999347167312591 29:6.5963490220949650 30:7.0966783927938780
0.5275910881815981 1:0.4029411764705882 2:0.4594594594594595 3:0.5675675675675675 4:0.5405405405405406 5:0.4594594594594595 6:0.3194103194103194 7:3.6000000000000000 8:1.1750000000000000 9:1.0303030303030303 10:0.4594594594594595 11:0.5116279069767442 12:0.4022038567493113 13:0.4309063893016345 14:0.4262820512820513 15:0.3787878787878788 16:0.4242424242424242 17:0.0053936250517447 18:0.0179850513858611 19:0.4894438138483200 20:0.5394857228955343 21:0.5263348857454004 22:0.5275051675288650 23:0.4847829461838552 24:0.1200680566628496 25:0.0513283028069340 26:0.0184491627372625 27:26.0000000000000000 28:0.3919648877532398 29:6.8224180544081120 30:7.4774200003218140
0.5079299517946759 1:0.3981762917933131 2:0.4594594594594595 3:0.5405405405405406 4:0.5405405405405406 5:0.4594594594594595 6:0.3460559796437659 7:8.3333333333333340 8:1.0515463917525774 9:1.0263157894736843 10:0.4520547945205479 11:0.4324324324324325 12:0.4187327823691460 13:0.4167916041979011 14:0.4052287581699346 15:0.4545454545454545 16:0.4159779614325069 17:-0.0752066115702479 18:-0.0678714859437751 19:0.4881314311684887 20:0.5072617882855888 21:0.5290332628082707 22:0.5208185068021051 23:0.4814210125503610 24:0.2100744571652327 25:0.1386490130699498 26:0.0987572828876992 27:26.0000000000000000 28:0.2445634129569340 29:6.5863669587390890 30:7.1671092319625735
0.4592964751039856 1:0.5785953177257525 2:0.5862068965517241 3:0.7586206896551724 4:0.7241379310344828 5:0.6206896551724138 6:0.5721784776902887 7:2.2253521126760565 8:1.7176470588235293 9:1.0352941176470590 10:0.5544554455445545 11:1.7407407407407407 12:0.5611285266457681 13:0.5776293823038398 14:0.5892857142857143 15:0.6781609195402298 16:0.5673981191222570 17:0.3123630205220163 18:0.2968682349545389 19:0.5946030207421356 20:0.5475082763841714 21:0.6353174171588131 22:0.6091439937897972 23:0.5687177491817876 24:0.2313963676755828 25:0.1215392976134613 26:0.0285087719298246 27:36.0000000000000000 28:0.2312930867260112 29:6.4637257811588990 30:6.9616180471790180
0.0207675078513958 1:0.4024024024024024 2:0.4324324324324325 3:0.5675675675675675 4:0.5675675675675675 5:0.4324324324324325 6:0.3147208121827411 7:48.0000000000000000 8:0.9052631578947369 9:0.9090909090909091 10:0.4419134396355353 11:0.0476190476190476 12:0.3939393939393939 13:0.4113263785394933 14:0.4006462035541196 15:0.4494949494949495 16:0.4159779614325069 17:-0.0800000000000000 18:-0.0523809523809524 19:0.5037404776786908 20:0.5017992816084554 21:0.5522228556296793 22:0.5240416500450886 23:0.4820676840414582 24:0.2308340570121124 25:0.1511681113155434 26:0.1003851501880458 27:26.0000000000000000 28:0.1989739367980452 29:6.7813038345452720 30:7.2424096122215510
0.9283572412460657 1:1.0000000000000000 2:1.0000000000000000 3:1.0000000000000000 4:1.0000000000000000 5:1.0000000000000000 6:1.0000000000000000 7:1.2413793103448276 8:1.8592964824120604 9:6.3636363636363630 10:1.0000000000000000 11:1.0230769230769230 12:1.0000000000000000 13:1.0000000000000000 14:1.0000000000000000 15:1.0000000000000000 16:1.0000000000000000 17:0.8890909090909092 18:0.8803306945863125 19:1.0000000000000000 20:1.0000000000000000 21:1.0000000000000000 22:1.0000000000000000 23:1.0000000000000000 24:1.0000000000000000 25:1.0000000000000000 26:1.0000000000000000 27:17.0000000000000000 28:0.7606269708759165 29:13.2000842119495000 30:13.1303800847208530
0.6913275482834846 1:1.0000000000000000 2:1.0000000000000000 3:1.0000000000000000 4:1.0000000000000000 5:1.0000000000000000 6:1.0000000000000000 7:1.0316742081447965 8:1.7830188679245282 9:3.6808510638297873 10:1.0000000000000000 11:1.0000000000000000 12:1.0000000000000000 13:1.0000000000000000 14:1.0000000000000000 15:1.0000000000000000 16:1.0000000000000000 17:0.9888888888888889 18:0.9818007662835249 19:1.0000000000000000 20:1.0000000000000000 21:1.0000000000000000 22:1.0000000000000000 23:1.0000000000000000 24:1.0000000000000000 25:1.0000000000000000 26:1.0000000000000000 27:16.0000000000000000 28:0.9583742551663159 29:13.1882115662764200 30:13.0390217916767150
0.9283572412460657 1:1.0000000000000000 2:1.0000000000000000 3:1.0000000000000000 4:1.0000000000000000 5:1.0000000000000000 6:1.0000000000000000 7:1.0000000000000000 8:1.7830188679245282 9:3.6808510638297873 10:1.0000000000000000 11:1.0000000000000000 12:1.0000000000000000 13:1.0000000000000000 14:1.0000000000000000 15:1.0000000000000000 16:1.0000000000000000 17:1.0000000000000000 18:1.0000000000000000 19:1.0000000000000000 20:1.0000000000000000 21:1.0000000000000000 22:1.0000000000000000 23:1.0000000000000000 24:1.0000000000000000 25:1.0000000000000000 26:1.0000000000000000 27:0.0000000000000000 28:1.0000000000000000 29:13.1884792206110100 30:13.0399362147856300
0.6286667561139961 1:1.0000000000000000 2:1.0000000000000000 3:1.0000000000000000 4:1.0000000000000000 5:1.0000000000000000 6:1.0000000000000000 7:1.2965517241379310 8:1.8407960199004976 9:6.3636363636363630 10:1.0000000000000000 11:1.0191570881226053 12:1.0000000000000000 13:1.0000000000000000 14:1.0000000000000000 15:1.0000000000000000 16:1.0000000000000000 17:0.8905109489051095 18:0.8811518808320719 19:1.0000000000000000 20:1.0000000000000000 21:1.0000000000000000 22:1.0000000000000000 23:1.0000000000000000 24:1.0000000000000000 25:1.0000000000000000 26:1.0000000000000000 27:27.0000000000000000 28:0.7476624134785246 29:13.2027666010265750 30:13.1293320522119600
